description,problem,clean_description
The plant is wilting because it has not received water,underwatering,the plant is wilting because it has not received water
The leaves are dry and falling off,underwatering,the leaves are dry and falling off
My plant looks thirsty,underwatering,my plant looks thirsty
The soil dries out very quickly,underwatering,the soil dries out very quickly
The leaves are turning brown and crispy,underwatering,the leaves are turning brown and crispy
I have not watered my plant for a week,underwatering,i have not watered my plant for a week
My plant is drooping and the soil is dry,underwatering,my plant is drooping and the soil is dry
The leaves feel dry and brittle,underwatering,the leaves feel dry and brittle
The plant looks weak because I forgot to water it,underwatering,the plant looks weak because i forgot to water it
The soil has become extremely dry,underwatering,the soil has become extremely dry
My plant is wilting from lack of water,underwatering,my plant is wilting from lack of water
The leaves are curling and dry,underwatering,the leaves are curling and dry
I think my plant needs more water,underwatering,i think my plant needs more water
The plant looks dehydrated,underwatering,the plant looks dehydrated
The leaves are becoming dry at the edges,underwatering,the leaves are becoming dry at the edges
The potting soil is dry all the way through,underwatering,the potting soil is dry all the way through
I rarely water this plant,underwatering,i rarely water this plant
The plant becomes droopy when I forget watering,underwatering,the plant becomes droopy when i forget watering
The leaves look shriveled and dry,underwatering,the leaves look shriveled and dry
My plant has not been watered recently,underwatering,my plant has not been watered recently
The soil is dusty and dry,underwatering,the soil is dusty and dry
The leaves are hanging down because the plant is dry,underwatering,the leaves are hanging down because the plant is dry
My plant looks better after I water it,underwatering,my plant looks better after i water it
I forgot to water it for several days,underwatering,i forgot to water it for several days
The plant is drying out,underwatering,the plant is drying out
Leaves are crispy because the soil is dry,underwatering,leaves are crispy because the soil is dry
My plant is wilting and the pot is very dry,underwatering,my plant is wilting and the pot is very dry
The soil has no moisture,underwatering,the soil has no moisture
I think the plant is not getting enough water,underwatering,i think the plant is not getting enough water
The leaves are dry and the plant looks thirsty,underwatering,the leaves are dry and the plant looks thirsty
My plant is growing slowly in a dark room,low_light,my plant is growing slowly in a dark room
The plant does not receive much sunlight,low_light,the plant does not receive much sunlight
The leaves are becoming pale because the room is dark,low_light,the leaves are becoming pale because the room is dark
My plant is not growing well indoors,low_light,my plant is not growing well indoors
The plant is kept far from the window,low_light,the plant is kept far from the window
There is very little natural light in my room,low_light,there is very little natural light in my room
The plant looks weak because it does not get enough light,low_light,the plant looks weak because it does not get enough light
My plant is stretching toward the window,low_light,my plant is stretching toward the window
The stems are becoming long and weak,low_light,the stems are becoming long and weak
The plant is growing slowly because the area is too dark,low_light,the plant is growing slowly because the area is too dark
My room does not get much sunlight,low_light,my room does not get much sunlight
The plant is kept in a shaded corner,low_light,the plant is kept in a shaded corner
The leaves look pale and the plant is growing slowly,low_light,the leaves look pale and the plant is growing slowly
My plant does not receive enough sunlight,low_light,my plant does not receive enough sunlight
The plant is leaning toward the light source,low_light,the plant is leaning toward the light source
The stems are thin and stretched,low_light,the stems are thin and stretched
The plant has become leggy indoors,low_light,the plant has become leggy indoors
Growth is very slow in this dark location,low_light,growth is very slow in this dark location
My plant is far away from any window,low_light,my plant is far away from any window
The leaves are losing their healthy color,low_light,the leaves are losing their healthy color
The plant is not getting sufficient light,low_light,the plant is not getting sufficient light
The room remains dark during most of the day,low_light,the room remains dark during most of the day
My plant is growing toward the window,low_light,my plant is growing toward the window
The plant looks stretched because of low light,low_light,the plant looks stretched because of low light
There is no direct or bright light where I keep it,low_light,there is no direct or bright light where i keep it
The plant growth has slowed in a dark area,low_light,the plant growth has slowed in a dark area
My plant is kept in a place with very little light,low_light,my plant is kept in a place with very little light
The leaves are pale and growth is weak,low_light,the leaves are pale and growth is weak
The plant is not receiving enough daylight,low_light,the plant is not receiving enough daylight
My indoor plant is struggling because the room is too dark,low_light,my indoor plant is struggling because the room is too dark
The stems are long because it is searching for light,low_light,the stems are long because it is searching for light
The plant has weak growth in low light,low_light,the plant has weak growth in low light
My plant needs a brighter location,low_light,my plant needs a brighter location
There is not enough sunlight in this room,low_light,there is not enough sunlight in this room
The plant looks weak in the dark corner,low_light,the plant looks weak in the dark corner
The leaves are yellow even though I water properly,nutrient_deficiency,the leaves are yellow even though i water properly
My plant is growing very slowly despite good care,nutrient_deficiency,my plant is growing very slowly despite good care
The leaves look pale and weak,nutrient_deficiency,the leaves look pale and weak
The plant may not be getting enough nutrients,nutrient_deficiency,the plant may not be getting enough nutrients
Older leaves are turning yellow,nutrient_deficiency,older leaves are turning yellow
New growth is small and weak,nutrient_deficiency,new growth is small and weak
The leaves have yellow areas between the veins,nutrient_deficiency,the leaves have yellow areas between the veins
My plant has poor growth despite proper watering,nutrient_deficiency,my plant has poor growth despite proper watering
The soil may not have enough nutrients,nutrient_deficiency,the soil may not have enough nutrients
The plant looks pale and unhealthy,nutrient_deficiency,the plant looks pale and unhealthy
The leaves are losing their green color,nutrient_deficiency,the leaves are losing their green color
Growth has slowed even though light and water seem fine,nutrient_deficiency,growth has slowed even though light and water seem fine
The plant has small new leaves,nutrient_deficiency,the plant has small new leaves
The leaves are pale green,nutrient_deficiency,the leaves are pale green
My plant may need fertilizer,nutrient_deficiency,my plant may need fertilizer
The plant looks weak even with proper watering,nutrient_deficiency,the plant looks weak even with proper watering
Yellowing is happening without overwatering,nutrient_deficiency,yellowing is happening without overwatering
The leaves have unusual discoloration,nutrient_deficiency,the leaves have unusual discoloration
My plant has stopped growing well,nutrient_deficiency,my plant has stopped growing well
The plant seems to lack nutrients,nutrient_deficiency,the plant seems to lack nutrients
The leaves are yellow but the soil conditions are normal,nutrient_deficiency,the leaves are yellow but the soil conditions are normal
Growth is poor and leaves look pale,nutrient_deficiency,growth is poor and leaves look pale
My plant has weak new growth,nutrient_deficiency,my plant has weak new growth
The leaves are not a healthy green color,nutrient_deficiency,the leaves are not a healthy green color
The plant has been in the same soil for a long time,nutrient_deficiency,the plant has been in the same soil for a long time
I have not fertilized the plant for months,nutrient_deficiency,i have not fertilized the plant for months
The leaves look pale despite receiving enough light,nutrient_deficiency,the leaves look pale despite receiving enough light
The plant is growing slowly and looks nutrient deficient,nutrient_deficiency,the plant is growing slowly and looks nutrient deficient
New leaves are smaller than usual,nutrient_deficiency,new leaves are smaller than usual
The plant looks unhealthy without any obvious pest problem,nutrient_deficiency,the plant looks unhealthy without any obvious pest problem
There are yellow patches on otherwise healthy leaves,nutrient_deficiency,there are yellow patches on otherwise healthy leaves
My plant might need more nutrients,nutrient_deficiency,my plant might need more nutrients
The growth is weak and leaves are pale,nutrient_deficiency,the growth is weak and leaves are pale
The soil may be exhausted,nutrient_deficiency,the soil may be exhausted
The plant has poor growth and yellow leaves,nutrient_deficiency,the plant has poor growth and yellow leaves
There are tiny insects on my plant,pest_problem,there are tiny insects on my plant
I can see bugs underneath the leaves,pest_problem,i can see bugs underneath the leaves
The leaves have small holes,pest_problem,the leaves have small holes
There are tiny insects moving on the stems,pest_problem,there are tiny insects moving on the stems
Something is eating my plant leaves,pest_problem,something is eating my plant leaves
I found small bugs on the plant,pest_problem,i found small bugs on the plant
The leaves are damaged by insects,pest_problem,the leaves are damaged by insects
There are insects hiding under the leaves,pest_problem,there are insects hiding under the leaves
My plant has sticky leaves and tiny bugs,pest_problem,my plant has sticky leaves and tiny bugs
I can see web like material on the plant,pest_problem,i can see web like material on the plant
The leaves have been chewed,pest_problem,the leaves have been chewed
There are white insects on my plant,pest_problem,there are white insects on my plant
Small black bugs are on the leaves,pest_problem,small black bugs are on the leaves
The plant has tiny pests,pest_problem,the plant has tiny pests
I see insects crawling around the stems,pest_problem,i see insects crawling around the stems
There are small insects in groups on the leaves,pest_problem,there are small insects in groups on the leaves
The leaves have bite marks,pest_problem,the leaves have bite marks
My plant has a pest infestation,pest_problem,my plant has a pest infestation
There are tiny creatures on the underside of the leaves,pest_problem,there are tiny creatures on the underside of the leaves
The plant leaves are damaged and I can see insects,pest_problem,the plant leaves are damaged and i can see insects
I found bugs near the new growth,pest_problem,i found bugs near the new growth
The leaves have unusual holes,pest_problem,the leaves have unusual holes
Something is damaging the leaves,pest_problem,something is damaging the leaves
There are tiny white bugs on the plant,pest_problem,there are tiny white bugs on the plant
The plant has sticky residue and insects,pest_problem,the plant has sticky residue and insects
I can see small pests moving,pest_problem,i can see small pests moving
The leaves are being eaten,pest_problem,the leaves are being eaten
There are bugs around the stems,pest_problem,there are bugs around the stems
My plant seems to have insects,pest_problem,my plant seems to have insects
Tiny insects are covering parts of the plant,pest_problem,tiny insects are covering parts of the plant
I noticed pests on the leaves,pest_problem,i noticed pests on the leaves
The plant has webbing and tiny insects,pest_problem,the plant has webbing and tiny insects
There are small bugs hiding in the leaf joints,pest_problem,there are small bugs hiding in the leaf joints
The leaves are damaged by pests,pest_problem,the leaves are damaged by pests
I think insects are attacking my plant,pest_problem,i think insects are attacking my plant
Brown spots are spreading across the leaves,fungal_disease,brown spots are spreading across the leaves
There are dark spots on the leaves,fungal_disease,there are dark spots on the leaves
The plant has unusual patches that are spreading,fungal_disease,the plant has unusual patches that are spreading
The leaves have black spots,fungal_disease,the leaves have black spots
White powder is appearing on the leaves,fungal_disease,white powder is appearing on the leaves
There are fungal looking spots on my plant,fungal_disease,there are fungal looking spots on my plant
The spots on the leaves are getting bigger,fungal_disease,the spots on the leaves are getting bigger
The plant has circular brown patches,fungal_disease,the plant has circular brown patches
There is powdery growth on the leaves,fungal_disease,there is powdery growth on the leaves
Dark patches are spreading across the foliage,fungal_disease,dark patches are spreading across the foliage
The leaves have unusual fungal marks,fungal_disease,the leaves have unusual fungal marks
Brown spots keep appearing on new leaves,fungal_disease,brown spots keep appearing on new leaves
There is white powder on the plant,fungal_disease,there is white powder on the plant
The leaf spots are spreading quickly,fungal_disease,the leaf spots are spreading quickly
The plant has black and brown patches,fungal_disease,the plant has black and brown patches
There is mold like growth on the leaves,fungal_disease,there is mold like growth on the leaves
The leaves have strange dark marks,fungal_disease,the leaves have strange dark marks
The spots look like a disease,fungal_disease,the spots look like a disease
My plant has patches that continue spreading,fungal_disease,my plant has patches that continue spreading
The leaves have powdery white material,fungal_disease,the leaves have powdery white material
There are brown lesions on the foliage,fungal_disease,there are brown lesions on the foliage
Dark spots appeared after humid weather,fungal_disease,dark spots appeared after humid weather
The plant leaves have a disease like pattern,fungal_disease,the plant leaves have a disease like pattern
Spots are spreading from one leaf to another,fungal_disease,spots are spreading from one leaf to another
There is fuzzy growth on the leaves,fungal_disease,there is fuzzy growth on the leaves
The leaves have dark circular spots,fungal_disease,the leaves have dark circular spots
I think my plant has a fungal infection,fungal_disease,i think my plant has a fungal infection
Brown patches are increasing on the plant,fungal_disease,brown patches are increasing on the plant
The leaves have unusual spots and discoloration,fungal_disease,the leaves have unusual spots and discoloration
White powder keeps appearing on the leaves,fungal_disease,white powder keeps appearing on the leaves
There are spreading brown marks on the foliage,fungal_disease,there are spreading brown marks on the foliage
The plant has black spots that are getting worse,fungal_disease,the plant has black spots that are getting worse
The leaves have a possible fungal disease,fungal_disease,the leaves have a possible fungal disease
The patches on the plant are spreading,fungal_disease,the patches on the plant are spreading
My plant has dark spots and powdery growth,fungal_disease,my plant has dark spots and powdery growth
My plant became weak after being exposed to cold weather,temperature_stress,my plant became weak after being exposed to cold weather
The leaves were damaged after a sudden temperature change,temperature_stress,the leaves were damaged after a sudden temperature change
The plant is suffering because the room is too hot,temperature_stress,the plant is suffering because the room is too hot
Cold air from the window is affecting my plant,temperature_stress,cold air from the window is affecting my plant
The plant was exposed to extreme heat,temperature_stress,the plant was exposed to extreme heat
The leaves became damaged after a cold night,temperature_stress,the leaves became damaged after a cold night
My plant is close to a heater,temperature_stress,my plant is close to a heater
The plant is near an air conditioner,temperature_stress,the plant is near an air conditioner
The temperature around the plant changes frequently,temperature_stress,the temperature around the plant changes frequently
My plant looks stressed during very hot weather,temperature_stress,my plant looks stressed during very hot weather
The leaves were damaged after frost,temperature_stress,the leaves were damaged after frost
The plant is exposed to cold drafts,temperature_stress,the plant is exposed to cold drafts
Extreme heat is making the leaves wilt,temperature_stress,extreme heat is making the leaves wilt
The plant became weak after being moved outside in cold weather,temperature_stress,the plant became weak after being moved outside in cold weather
The room temperature is too low for my plant,temperature_stress,the room temperature is too low for my plant
My plant is suffering during a heatwave,temperature_stress,my plant is suffering during a heatwave
The leaves look damaged after extreme temperatures,temperature_stress,the leaves look damaged after extreme temperatures
The plant is close to a source of hot air,temperature_stress,the plant is close to a source of hot air
Cold weather caused the leaves to droop,temperature_stress,cold weather caused the leaves to droop
The plant is affected by very high temperatures,temperature_stress,the plant is affected by very high temperatures
My plant does not tolerate the cold,temperature_stress,my plant does not tolerate the cold
The temperature dropped suddenly and the plant looks weak,temperature_stress,the temperature dropped suddenly and the plant looks weak
The plant is stressed because of heat,temperature_stress,the plant is stressed because of heat
My plant is near a cold window,temperature_stress,my plant is near a cold window
The leaves started wilting during extreme heat,temperature_stress,the leaves started wilting during extreme heat
The plant was exposed to freezing conditions,temperature_stress,the plant was exposed to freezing conditions
The temperature in the room changes too much,temperature_stress,the temperature in the room changes too much
Hot weather is stressing my plant,temperature_stress,hot weather is stressing my plant
The plant looks damaged after a sudden cold spell,temperature_stress,the plant looks damaged after a sudden cold spell
My plant is affected by a very hot environment,temperature_stress,my plant is affected by a very hot environment
The plant is exposed to cold air regularly,temperature_stress,the plant is exposed to cold air regularly
Extreme temperatures are affecting the plant,temperature_stress,extreme temperatures are affecting the plant
The leaves became weak after temperature changes,temperature_stress,the leaves became weak after temperature changes
My plant may be stressed by heat or cold,temperature_stress,my plant may be stressed by heat or cold
The plant is not in a suitable temperature range,temperature_stress,the plant is not in a suitable temperature range
My plant looks healthy and is growing well,healthy,my plant looks healthy and is growing well
The leaves are green and healthy,healthy,the leaves are green and healthy
My plant is doing very well,healthy,my plant is doing very well
There are no visible problems with my plant,healthy,there are no visible problems with my plant
The plant is growing normally,healthy,the plant is growing normally
My plant looks fresh and healthy,healthy,my plant looks fresh and healthy
The leaves look green and strong,healthy,the leaves look green and strong
Everything seems fine with my plant,healthy,everything seems fine with my plant
The plant is growing new leaves normally,healthy,the plant is growing new leaves normally
My plant looks completely healthy,healthy,my plant looks completely healthy
There are no spots or insects on the leaves,healthy,there are no spots or insects on the leaves
The plant has healthy green foliage,healthy,the plant has healthy green foliage
My plant is growing well with no problems,healthy,my plant is growing well with no problems
The leaves look normal,healthy,the leaves look normal
The plant is doing great,healthy,the plant is doing great
My plant looks strong and healthy,healthy,my plant looks strong and healthy
New growth is appearing normally,healthy,new growth is appearing normally
The plant has no visible damage,healthy,the plant has no visible damage
Everything looks normal with my plant,healthy,everything looks normal with my plant
My plant is healthy,healthy,my plant is healthy
The leaves are green and there are no problems,healthy,the leaves are green and there are no problems
The plant is growing steadily,healthy,the plant is growing steadily
My plant looks good and healthy,healthy,my plant looks good and healthy
There are no signs of disease,healthy,there are no signs of disease
The plant has normal healthy growth,healthy,the plant has normal healthy growth
My plant is doing fine,healthy,my plant is doing fine
The leaves look fresh and green,healthy,the leaves look fresh and green
The plant seems perfectly healthy,healthy,the plant seems perfectly healthy
There are no unusual symptoms,healthy,there are no unusual symptoms
My plant has healthy new growth,healthy,my plant has healthy new growth
The plant looks normal,healthy,the plant looks normal
Everything is okay with my plant,healthy,everything is okay with my plant
My plant is growing properly,healthy,my plant is growing properly
The leaves are healthy and green,healthy,the leaves are healthy and green
No major problem is visible,healthy,no major problem is visible
The roots are brown and mushy,root_rot,the roots are brown and mushy
My plant is wilting even though the soil is wet and the roots look damaged,root_rot,my plant is wilting even though the soil is wet and the roots look damaged
There is a bad smell coming from the soil and the roots are soft,root_rot,there is a bad smell coming from the soil and the roots are soft
The roots look black and unhealthy,root_rot,the roots look black and unhealthy
My plant has mushy roots,root_rot,my plant has mushy roots
The roots are rotting in the wet soil,root_rot,the roots are rotting in the wet soil
I removed the plant and found dark soft roots,root_rot,i removed the plant and found dark soft roots
The plant is wilting despite having plenty of water and damaged roots,root_rot,the plant is wilting despite having plenty of water and damaged roots
The roots are brown and falling apart,root_rot,the roots are brown and falling apart
There is a rotten smell coming from the root area,root_rot,there is a rotten smell coming from the root area
My plant has soft black roots,root_rot,my plant has soft black roots
The roots are unhealthy and mushy,root_rot,the roots are unhealthy and mushy
The plant has root damage from staying wet too long,root_rot,the plant has root damage from staying wet too long
I think the roots are rotting,root_rot,i think the roots are rotting
The roots are dark and soft instead of firm,root_rot,the roots are dark and soft instead of firm
The plant is weak and the roots look rotten,root_rot,the plant is weak and the roots look rotten
There is a foul smell from the potting soil,root_rot,there is a foul smell from the potting soil
The roots have become brown and slimy,root_rot,the roots have become brown and slimy
My plant is declining and the roots are damaged,root_rot,my plant is declining and the roots are damaged
The root system looks unhealthy,root_rot,the root system looks unhealthy
The roots are turning black and mushy,root_rot,the roots are turning black and mushy
The plant is wilting while the roots remain wet and damaged,root_rot,the plant is wilting while the roots remain wet and damaged
I can see rotting roots when I remove the plant from the pot,root_rot,i can see rotting roots when i remove the plant from the pot
The roots are soft and decomposing,root_rot,the roots are soft and decomposing
There is a bad odor near the roots,root_rot,there is a bad odor near the roots
My plant has unhealthy roots that are falling apart,root_rot,my plant has unhealthy roots that are falling apart
The root area looks rotten,root_rot,the root area looks rotten
The roots have become dark because of excess moisture,root_rot,the roots have become dark because of excess moisture
The plant is weak and the root system is damaged,root_rot,the plant is weak and the root system is damaged
I found mushy brown roots in the pot,root_rot,i found mushy brown roots in the pot
The roots smell bad and look unhealthy,root_rot,the roots smell bad and look unhealthy
My plant may have root rot,root_rot,my plant may have root rot
The roots are black instead of white and firm,root_rot,the roots are black instead of white and firm
The plant is wilting because its roots are rotting,root_rot,the plant is wilting because its roots are rotting
I found soft rotten roots after checking the plant,root_rot,i found soft rotten roots after checking the plant
My plant has brown scorched patches after direct sunlight,sunburn,my plant has brown scorched patches after direct sunlight
The leaves look burned from too much sun,sunburn,the leaves look burned from too much sun
There are bleached spots on the leaves,sunburn,there are bleached spots on the leaves
My plant was damaged after being moved into direct sunlight,sunburn,my plant was damaged after being moved into direct sunlight
The leaves have dry brown patches where sunlight hits them,sunburn,the leaves have dry brown patches where sunlight hits them
Too much strong sunlight is burning the leaves,sunburn,too much strong sunlight is burning the leaves
The plant has pale bleached areas from intense sun,sunburn,the plant has pale bleached areas from intense sun
The leaves became scorched during hot sunny weather,sunburn,the leaves became scorched during hot sunny weather
My plant developed brown patches after too much direct sun,sunburn,my plant developed brown patches after too much direct sun
The foliage looks burned on the side facing the sun,sunburn,the foliage looks burned on the side facing the sun
Strong sunlight is damaging my plant,sunburn,strong sunlight is damaging my plant
The leaves have sunburned spots,sunburn,the leaves have sunburned spots
The plant was fine indoors but burned after being placed outside,sunburn,the plant was fine indoors but burned after being placed outside
The leaves are bleached and dry from excessive sunlight,sunburn,the leaves are bleached and dry from excessive sunlight
My plant gets harsh afternoon sunlight and the leaves are burning,sunburn,my plant gets harsh afternoon sunlight and the leaves are burning
There are brown dry patches caused by direct sun,sunburn,there are brown dry patches caused by direct sun
The leaves look scorched after several hours of strong sunlight,sunburn,the leaves look scorched after several hours of strong sunlight
My plant was exposed to intense sunlight and got damaged,sunburn,my plant was exposed to intense sunlight and got damaged
The leaf surface looks burned,sunburn,the leaf surface looks burned
The leaves have pale areas that later turned brown,sunburn,the leaves have pale areas that later turned brown
Direct sunlight is too strong for my plant,sunburn,direct sunlight is too strong for my plant
The plant has heat and sun damage on exposed leaves,sunburn,the plant has heat and sun damage on exposed leaves
The leaves are developing brown patches after sunny days,sunburn,the leaves are developing brown patches after sunny days
My plant looks burned by the sun,sunburn,my plant looks burned by the sun
There are crispy brown spots where the sun hits the leaves,sunburn,there are crispy brown spots where the sun hits the leaves
The plant was placed in full sun and now the leaves are damaged,sunburn,the plant was placed in full sun and now the leaves are damaged
Excessive sunlight has bleached the foliage,sunburn,excessive sunlight has bleached the foliage
The leaves are scorched after exposure to strong sunlight,sunburn,the leaves are scorched after exposure to strong sunlight
My plant cannot handle the intense direct sun,sunburn,my plant cannot handle the intense direct sun
The sunny side of the plant has brown burned patches,sunburn,the sunny side of the plant has brown burned patches
The leaves became damaged after moving closer to the window,sunburn,the leaves became damaged after moving closer to the window
My plant has sunburn from strong afternoon light,sunburn,my plant has sunburn from strong afternoon light
The foliage has bleached patches from too much light,sunburn,the foliage has bleached patches from too much light
The leaves are burned because of excessive direct sunlight,sunburn,the leaves are burned because of excessive direct sunlight
Strong sun is causing brown scorched spots,sunburn,strong sun is causing brown scorched spots
The leaf edges are dry and crispy,low_humidity,the leaf edges are dry and crispy
My plant has brown crispy tips because the air is dry,low_humidity,my plant has brown crispy tips because the air is dry
The room air feels very dry and the leaves are drying at the edges,low_humidity,the room air feels very dry and the leaves are drying at the edges
The leaves have dry brown tips,low_humidity,the leaves have dry brown tips
My plant needs more humidity,low_humidity,my plant needs more humidity
The leaf edges are turning brown and crispy,low_humidity,the leaf edges are turning brown and crispy
Dry indoor air is affecting my plant,low_humidity,dry indoor air is affecting my plant
The leaves are curling and becoming crispy around the edges,low_humidity,the leaves are curling and becoming crispy around the edges
The plant is near a heater and the air is very dry,low_humidity,the plant is near a heater and the air is very dry
My plant has dry leaf tips despite regular watering,low_humidity,my plant has dry leaf tips despite regular watering
The edges of the leaves are dry but the soil is not dry,low_humidity,the edges of the leaves are dry but the soil is not dry
The air around the plant lacks moisture,low_humidity,the air around the plant lacks moisture
The leaves are becoming crispy due to dry air,low_humidity,the leaves are becoming crispy due to dry air
My tropical plant is suffering from low humidity,low_humidity,my tropical plant is suffering from low humidity
The leaf margins are dry and brown,low_humidity,the leaf margins are dry and brown
The room is dry and my plant leaves are curling,low_humidity,the room is dry and my plant leaves are curling
The plant has brown tips even though I water it properly,low_humidity,the plant has brown tips even though i water it properly
The leaves feel dry because of low humidity,low_humidity,the leaves feel dry because of low humidity
Dry air is causing the foliage to become crispy,low_humidity,dry air is causing the foliage to become crispy
The plant is near an air conditioner and the leaves are drying,low_humidity,the plant is near an air conditioner and the leaves are drying
My plant has crispy leaf edges,low_humidity,my plant has crispy leaf edges
The humidity around my plant is very low,low_humidity,the humidity around my plant is very low
The leaves are drying from the edges inward,low_humidity,the leaves are drying from the edges inward
My indoor air is dry and the plant looks stressed,low_humidity,my indoor air is dry and the plant looks stressed
The leaf tips are brown and brittle,low_humidity,the leaf tips are brown and brittle
The plant needs a more humid environment,low_humidity,the plant needs a more humid environment
The foliage has dry crispy margins,low_humidity,the foliage has dry crispy margins
The soil is moist but the leaf edges are dry,low_humidity,the soil is moist but the leaf edges are dry
The leaves are curling because the air is too dry,low_humidity,the leaves are curling because the air is too dry
My plant suffers during dry winter air,low_humidity,my plant suffers during dry winter air
There are brown tips caused by dry air,low_humidity,there are brown tips caused by dry air
The plant looks dry even though it is watered,low_humidity,the plant looks dry even though it is watered
Low humidity may be damaging the leaves,low_humidity,low humidity may be damaging the leaves
The air around the plant is too dry,low_humidity,the air around the plant is too dry
My leaves have dry edges and brown tips,low_humidity,my leaves have dry edges and brown tips
My plant started wilting after repotting,transplant_stress,my plant started wilting after repotting
The leaves are drooping since I moved the plant to a new pot,transplant_stress,the leaves are drooping since i moved the plant to a new pot
My plant looks weak after being transplanted,transplant_stress,my plant looks weak after being transplanted
The plant is stressed after changing pots,transplant_stress,the plant is stressed after changing pots
I recently repotted my plant and now the leaves are drooping,transplant_stress,i recently repotted my plant and now the leaves are drooping
My plant is struggling after transplanting,transplant_stress,my plant is struggling after transplanting
The plant stopped growing after I moved it to another pot,transplant_stress,the plant stopped growing after i moved it to another pot
The leaves started yellowing after repotting,transplant_stress,the leaves started yellowing after repotting
My plant looks stressed since I changed the soil,transplant_stress,my plant looks stressed since i changed the soil
The plant became weak after moving it,transplant_stress,the plant became weak after moving it
I transplanted the plant recently and it is now wilting,transplant_stress,i transplanted the plant recently and it is now wilting
The plant is drooping after being moved to a new container,transplant_stress,the plant is drooping after being moved to a new container
My plant has not adjusted after repotting,transplant_stress,my plant has not adjusted after repotting
The leaves look weak after transplanting,transplant_stress,the leaves look weak after transplanting
The plant is stressed because its roots were disturbed during repotting,transplant_stress,the plant is stressed because its roots were disturbed during repotting
My plant looks unhappy after changing pots,transplant_stress,my plant looks unhappy after changing pots
Growth slowed after I transplanted the plant,transplant_stress,growth slowed after i transplanted the plant
The plant started drooping after I replaced the soil,transplant_stress,the plant started drooping after i replaced the soil
I moved my plant to a bigger pot and now it looks stressed,transplant_stress,i moved my plant to a bigger pot and now it looks stressed
The leaves became weak after repotting,transplant_stress,the leaves became weak after repotting
My plant is adjusting poorly to its new pot,transplant_stress,my plant is adjusting poorly to its new pot
The plant was healthy before I transplanted it,transplant_stress,the plant was healthy before i transplanted it
The plant started wilting after I disturbed the roots,transplant_stress,the plant started wilting after i disturbed the roots
My plant looks shocked after repotting,transplant_stress,my plant looks shocked after repotting
The leaves are drooping because I recently moved the plant,transplant_stress,the leaves are drooping because i recently moved the plant
The plant is stressed after being transferred to another container,transplant_stress,the plant is stressed after being transferred to another container
My plant has not recovered since repotting,transplant_stress,my plant has not recovered since repotting
The plant looks weak after a recent transplant,transplant_stress,the plant looks weak after a recent transplant
I changed the pot and now the plant is struggling,transplant_stress,i changed the pot and now the plant is struggling
