id,typeName,category,description,commonExamples,careTips,lightPreference,humidityPreference,temperaturePreference,springInterval,summerInterval,fallInterval,winterInterval,soilPhPreference,drainagePreference,plantToxicity,growthRate,origin
dracaena-marginata,Dracaena Marginata,Houseplants - Low Maintenance,"Also known as: Dragon tree, Madagascar dragon tree. Dragon tree with thin, arching leaves with red edges, very low-maintenance.","Dracaena marginata (Dragon tree, Madagascar dragon tree)","Water when top half of soil is dry. Use filtered, distilled, or rainwater to prevent brown leaf tips from fluoride and chlorine. Bright indirect light maintains red edge coloration. Low to medium humidity is fine. Fertilize monthly spring through fall with balanced fertilizer at half strength. Repot every 2-3 years. Trim brown tips with clean scissors. Remove lower leaves as they yellow. Very low-maintenance once established. Toxic to pets.",lowIndirect,medium,"[18, 24]",10.0,10.0,14.0,21.0,neutral,wellDraining,toxic,slow,
dracaena-song-of-india,Song of India,Houseplants - Low Maintenance,Compact dracaena with yellow-edged leaves in a spiral arrangement; slow-growing and compact.,"Dracaena reflexa 'Song of India' (Song of India, Song of Jamaica)",Water when top inch of soil is dry. Bright indirect light maintains yellow margins. Use filtered water to prevent brown tips. Medium humidity fine. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or damaged leaves promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,slow,
dracaena-warneckii,Dracaena Warneckii,Houseplants - Low Maintenance,Also known as: Deremensis Group. Stripe-edged dracaena with green and white or cream variegation; upright growth habit.,"Dracaena fragrans (Deremensis Group) 'Warneckei' (Striped dracaena, Warneckii)",Water when top inch of soil is dry. Use filtered or distilled water to prevent brown leaf tips. Low to bright indirect light. Medium humidity fine. Fertilize monthly spring through fall. Toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,slow,
false-aralia,False Aralia,Houseplants - Low Maintenance,"Delicate-looking shrub with fine, serrated leaflets; young plants have coppery new growth. Sensitive to changes in light and humidity.","Plerandra elegantissima (syn. Schefflera elegantissima; False aralia, Thread leaf)",Water when top inch of soil is dry. Avoid soggy soil. Bright indirect light preferred; low light causes leaf drop. Moderate to high humidity helps. Avoid drafts and sudden temperature changes. Fertilize monthly spring through fall. Mildly toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 24]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,moderate,
ficus-benjamina,Weeping Fig,Houseplants - Low Maintenance,"Classic indoor tree with arching branches and glossy, pointed leaves; can grow quite tall. Sensitive to relocation and drafts.","Ficus benjamina (Weeping fig, Benjamin fig)",Water when top inch of soil is dry. Bright indirect light preferred. Avoid moving once established—leaf drop often follows. Medium humidity preferred; mist if leaves drop. Fertilize monthly spring through fall. Toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
ficus-elastica-tineke,Ficus Tineke,Houseplants - Low Maintenance,"Variegated rubber plant cultivar with striking cream, green, and pink-edged leaves, more colorful than the standard rubber plant while retaining its easy-care nature.","Ficus elastica 'Tineke' (Variegated rubber plant, Tineke rubber plant)",Water when top 2-5 cm of soil is dry; reduce in winter. Bright indirect light essential to maintain variegation—too little light causes green reversion. Medium humidity fine. Well-draining potting mix. Fertilize monthly spring through fall with balanced fertilizer at half strength. Wipe large leaves with damp cloth to remove dust. Prune to control height and encourage branching. Rotate regularly for even growth. Toxic to pets (milky latex sap).,brightIndirect,medium,"[15, 30]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
peace-lily-sensation,Peace Lily Sensation,Houseplants - Low Maintenance,"Also known as: Sensation peace lily. Large cultivar of peace lily with broad, glossy leaves; can reach 4–6 feet. Low-light tolerant and shows need for water by drooping.",Spathiphyllum 'Sensation' (Sensation peace lily),Water when top inch of soil is dry; plant will droop when thirsty. Low to bright indirect light. Medium humidity preferred. Fertilize monthly spring through fall. Wipe leaves to remove dust. Toxic to pets and humans—causes mouth irritation. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,lowIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
peperomia-ginny,Peperomia Ginny,Houseplants - Low Maintenance,"Also known as: Rainbow edge peperomia. Compact peperomia with tricolor leaves—green, cream, and pink edges; upright growth habit.","Peperomia clusiifolia 'Ginny' (Rainbow edge peperomia, Tricolor peperomia)",Water when top inch of soil is dry. Avoid overwatering—succulent leaves store water. Bright indirect light maintains variegation. Medium humidity fine. Fertilize monthly spring through fall at half strength. Non-toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,moderate,
philodendron-congo,Philodendron Congo,Houseplants - Low Maintenance,"Upright, non-vining philodendron with glossy, broad leaves; compact and bushy growth habit.","Philodendron 'Congo', P. 'Congo Rojo', P. 'Rojo Congo'",Water when top inch of soil is dry. Low to bright indirect light. Medium humidity fine. Fertilize monthly spring through fall. Wipe leaves to remove dust. Mildly toxic to pets. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,lowIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,moderate,
pilea-glauca,Silver Sparkle Pilea,Houseplants - Low Maintenance,Also known as: Gray baby tears. Tiny-leaved trailing plant with blue-green foliage; ideal for terrariums or small hanging pots.,"Pilea glauca (unresolved name; possibly P. libanensis) (Silver sparkle, Gray baby tears)","Water when top inch of soil is dry. Keep evenly moist. Bright indirect light preferred. High humidity helps—good for terrariums. Fertilize monthly spring through fall at half strength. Non-toxic to pets. Remove dead or damaged foliage promptly., if planted in water, need to clean rotted root",brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
pothos,Pothos,Houseplants - Low Maintenance,"Extremely easy-care trailing aroids in the Araceae family, excellent for beginners, includes many variegated varieties.","Epipremnum aureum (Golden pothos), E. 'Marble Queen', E. 'Neon', E. 'N'Joy', E. 'Manjula', Scindapsus pictus (Satin pothos)",Water when top inch of soil is dry. Very forgiving of neglect and inconsistent watering. Bright indirect light maintains variegation; tolerates low light but may lose variegation. Medium humidity is fine. Fertilize monthly spring through fall with balanced fertilizer at half strength. Prune to control length and encourage bushiness. Repot every 1-2 years. Excellent for beginners. Toxic to pets. One of the most popular houseplants.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,fast,
pothos-cebu-blue,Cebu Blue Pothos,Houseplants - Low Maintenance,"Pothos variety with silvery-blue, elongated leaves; develops fenestrations when mature. Same easy care as golden pothos.",Epipremnum pinnatum 'Cebu Blue' (Cebu blue pothos),Water when top inch of soil is dry. Bright indirect light enhances blue sheen. Medium humidity fine. Fertilize monthly spring through fall. Can develop split leaves with age. Toxic to pets. Prune regularly to maintain a good canopy shape.,brightIndirect,medium,"[16, 29]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,fast,
pothos-jade,Jade Pothos,Houseplants - Low Maintenance,Also known as: Green pothos. Solid green pothos with no variegation; most tolerant of low light and the hardiest pothos variety.,"Epipremnum aureum 'Jade' (Jade pothos, Green pothos)",Water when top inch of soil is dry. Tolerates very low light better than variegated varieties. Medium humidity fine. Fertilize monthly spring through fall. Very forgiving. Toxic to pets. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,lowIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,fast,
sansevieria-cylindrica,Cylindrical Snake Plant,Houseplants - Low Maintenance,"Also known as: African spear. Snake plant with cylindrical, spear-like leaves; often braided when young. Same drought tolerance as flat-leaf varieties.","Dracaena angolensis (syn. Sansevieria cylindrica; African spear, Cylindrical snake plant)",Water when soil is completely dry (every 2-4 weeks). Very drought tolerant. Low to bright indirect light. Low humidity fine. Fertilize 2-3 times per year. Toxic to pets. Remove yellowing or damaged leaves promptly.,brightIndirect,low,"[18, 27]",14.0,14.0,21.0,28.0,neutral,excellentDrainage,toxic,slow,
sansevieria-hahnii,Bird's Nest Snake Plant,Houseplants - Low Maintenance,"Also known as: Golden hahnii. Dwarf snake plant with rosette-forming leaves; compact, ideal for small spaces and tabletops.","Dracaena trifasciata 'Hahnii' (Bird's nest snake plant, Golden hahnii)",Water when soil is completely dry (every 2-4 weeks). Compact rosette form stays under 20 cm tall — ideal for desks and small spaces. Low to bright indirect light. Low humidity fine. Needs less water than taller snake plants due to smaller leaf volume. Rarely needs repotting due to compact size. Fertilize 2-3 times per year. Toxic to pets. Remove yellowing or damaged leaves promptly.,brightIndirect,low,"[18, 27]",14.0,14.0,21.0,28.0,neutral,excellentDrainage,toxic,slow,
sansevieria-moonshine,Moonshine Snake Plant,Houseplants - Low Maintenance,"Snake plant with silvery-gray, broad leaves; subtle banding. Same easy care as other Dracaena trifasciata varieties.",Dracaena trifasciata 'Moonshine' (Moonshine snake plant),Water when soil is completely dry (every 2-4 weeks). Silvery-gray leaves are more sensitive to direct sun than green varieties — bright indirect light is best to prevent scorching. May lose silvery color and revert to green in low light. Low humidity fine. Drought tolerant. Grows upright to 60 cm. Fertilize 2-3 times per year. Toxic to pets. Remove yellowing or damaged leaves promptly.,brightIndirect,low,"[18, 27]",14.0,14.0,21.0,28.0,neutral,excellentDrainage,toxic,slow,
schefflera,Schefflera (Umbrella Tree),Houseplants - Low Maintenance,"Tropical shrub with glossy, palmately compound leaves—leaflets radiate from a central point like umbrella ribs.","Schefflera actinophylla (Umbrella tree, Octopus tree), S. arboricola (Dwarf umbrella tree, Hawaiian elf)",Water when top 2 inches of soil is dry. Keep consistently moist but not soggy. Bright indirect light preferred. Medium to high humidity (50-60%) preferred. Fertilize monthly spring through fall with balanced fertilizer at half strength. Prune to control size and encourage bushiness. Wipe leaves monthly. Repot every 2-3 years. Can grow quite large. Toxic to pets.,brightIndirect,high,"[18, 24]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
schefflera-dwarf,Dwarf Schefflera,Houseplants - Low Maintenance,"Compact umbrella plant with palmate leaves, easier to manage indoors than the larger schefflera.","Schefflera arboricola (Dwarf umbrella plant, Hawaiian elf schefflera), S. arboricola 'Variegata'",Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity fine. Fertilize monthly spring through fall. Prune to maintain shape. More compact than standard schefflera. Toxic to pets.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
shangri-la-pothos,Shangri La Pothos,Houseplants - Low Maintenance,"Unique pothos cultivar with curled and twisted leaves that give a compact, textured appearance. Same easy care as standard pothos but with distinctive ruffled foliage.","Epipremnum aureum 'Shangri La' (Godzilla pothos, Sleeping pothos)",Water when top 1-2 inches of soil is dry. Tolerates low to bright indirect light. Very low maintenance. Curled leaves may unfurl with more light. Average humidity is fine. Fertilize monthly spring through fall. Mildly toxic to pets. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,brightIndirect,medium,"[18, 29]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,fast,
snake-plants,Snake Plants,Houseplants - Low Maintenance,Also known as: Mother-in-law's tongue. Extremely low-maintenance succulents in the Asparagaceae family with upright sword-like leaves. Includes various cultivars with different leaf shapes and patterns.,"Dracaena trifasciata (syn. Sansevieria trifasciata; Mother-in-law's tongue), D. trifasciata 'Laurentii', D. trifasciata 'Moonshine', D. trifasciata 'Black Gold', Dracaena angolensis (syn. Sansevieria cylindrica; cylindrical snake plant)","Water only when soil is completely dry (every 2-8 weeks depending on conditions). Very drought tolerant due to water storage in leaves. Bright indirect to direct light preferred; tolerates low light but grows slowly. Low humidity is fine. Fertilize 2-3 times per year during growing season with succulent fertilizer at quarter strength. Repot only when pot breaks or plant becomes top-heavy (every 5-10 years). Remove dead leaves at base by pulling gently. Divide offsets when repotting. Overwatering is the main cause of death - when in doubt, wait longer. Toxic to pets. Remove yellowing or damaged leaves promptly.",brightIndirect,low,"[18, 27]",14.0,14.0,21.0,30.0,neutral,excellentDrainage,toxic,slow,
spathiphyllum-domino,Domino Peace Lily,Houseplants - Low Maintenance,"Variegated peace lily with white speckling on green leaves; smaller than Sensation, good for tabletops.",Spathiphyllum 'Domino' (Domino peace lily),Water when top inch of soil is dry; droops when thirsty. Low to bright indirect light. Medium humidity preferred. Fertilize monthly spring through fall. Brighter light maintains variegation. Toxic to pets. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
spider-plants,Spider Plants,Houseplants - Low Maintenance,"Also known as: Airplane plant, Ribbon plant. Easy-care trailing plants in the Asparagaceae family that produce plantlets on stolons, excellent air purifiers. Includes various cultivars with different variegation patterns.","Chlorophytum comosum (Spider plant, Airplane plant, Ribbon plant), C. comosum 'Vittatum', C. comosum 'Variegatum', C. comosum 'Bonnie'",Water when top inch of soil is dry. Keep slightly moist but avoid overwatering which causes brown tips. Bright indirect light maintains variegation. Medium humidity (40-50%) preferred. Fertilize monthly spring through fall with balanced liquid fertilizer at half strength. Remove plantlets when they develop roots (2-3 inches long) to propagate or reduce crowding. Trim brown tips with clean scissors. Repot every 1-2 years when roots fill container. Excellent air purifier. Watch for spider mites in dry conditions. Non-toxic to pets.,brightIndirect,medium,"[18, 24]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
yucca,Yucca,Houseplants - Low Maintenance,"Also known as: Giant yucca. Drought-tolerant plants in the Asparagaceae family with sword-like leaves, can grow into small trees.","Yucca elephantipes (Spineless yucca, Giant yucca), Y. aloifolia (Spanish bayonet, Dagger plant)",Water when soil is completely dry (every 2-4 weeks). Very drought tolerant. Bright indirect to direct light preferred. Low humidity is fine. Fertilize 2-3 times per year during growing season with balanced fertilizer at quarter strength. Repot every 3-5 years when roots fill container. Remove dead leaves at base. Can grow quite large - provide adequate space. Sharp leaf tips - handle with care. Toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,low,"[18, 24]",14.0,14.0,21.0,30.0,neutral,wellDraining,toxic,moderate,
zz-plant,ZZ Plant,Houseplants - Low Maintenance,"Also known as: Zanzibar gem, Eternity plant. Extremely low-maintenance plant in the Araceae family with glossy leaves and rhizomes that store water, virtually indestructible.","Zamioculcas zamiifolia (ZZ plant, Zanzibar gem, Eternity plant), Z. zamiifolia 'Raven' (Raven ZZ)","Water when soil is completely dry (every 2-4 weeks). Rhizomes store water making it extremely drought tolerant. Overwatering causes root rot - when in doubt, wait. Low to bright indirect light tolerated; grows faster in brighter light. Low humidity is fine. Fertilize 2-3 times per year during growing season with balanced fertilizer at quarter strength. Repot every 2-3 years when rhizomes fill container. Wipe glossy leaves monthly to remove dust. Virtually indestructible - perfect for beginners. Toxic to pets. Remove old, yellowing, or diseased leaves promptly.",lowIndirect,low,"[18, 24]",14.0,14.0,21.0,30.0,neutral,wellDraining,toxic,slow,
zz-plant-raven,ZZ Plant Raven,Houseplants - Low Maintenance,"Also known as: Raven ZZ plant, Black ZZ. Dark purple-black variety of ZZ plant, same easy-care as standard ZZ, new growth emerges green and darkens with age.","Zamioculcas zamiifolia 'Raven' (Raven ZZ plant, Black ZZ)","Water when soil is completely dry (every 2-4 weeks). Rhizomes store water making it extremely drought tolerant. Overwatering causes root rot. Low to bright indirect light; new growth emerges green and darkens to purple-black with age. Low humidity is fine. Fertilize 2-3 times per year during growing season with balanced fertilizer at quarter strength. Repot every 2-3 years. Wipe glossy leaves monthly. Same easy-care as standard ZZ plant with striking dark foliage. Toxic to pets. Remove old, yellowing, or diseased leaves promptly.",lowIndirect,low,"[18, 24]",14.0,14.0,21.0,30.0,neutral,wellDraining,toxic,slow,
zz-plant-zenzi,ZZ Plant Zenzi,Houseplants - Low Maintenance,"Also known as: Dwarf ZZ plant. Compact cultivar of Zamioculcas zamiifolia with shorter, more tightly clustered dark green leaflets on chunky stems.",Zamioculcas zamiifolia 'Zenzi' (Dwarf ZZ plant),"Water only when soil is completely dry — the thick rhizomes store water and overwatering causes root rot. Tolerates low light but grows faster in bright indirect light; avoid direct sun. Average room humidity is fine; no misting needed. Fertilize once or twice during the growing season with a balanced liquid fertilizer at half strength. Wipe leaves with a damp cloth to remove dust. Toxic to pets — contains calcium oxalate crystals. Remove old, yellowing, or diseased leaves promptly.",lowIndirect,low,"[18, 27]",14.0,14.0,21.0,30.0,neutral,wellDraining,toxic,slow,
alocasia-amazonica,Alocasia Amazonica,Houseplants - Aroids,"Dramatic aroid with arrow-shaped, dark green leaves featuring bold white or silver veining. Parent hybrid of the smaller Alocasia Polly. Despite the name, it is a hybrid, not from the Amazon.","Alocasia × amazonica (African mask plant, Elephant ear), A. × amazonica 'Polly' (compact cultivar)",Water when top inch of soil is dry. Bright indirect light; avoid direct sun which scorches leaves. High humidity (60%+) is important. May go dormant and lose leaves in winter — reduce watering and wait for regrowth. Toxic to pets. Remove yellowing leaves at the base. Prune leggy stems to promote bushier growth. Cut above a node for best results.,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,acidic,wellDraining,toxic,moderate,
alocasia-black-velvet,Black Velvet Alocasia,Houseplants - Aroids,Compact Alocasia with velvety black leaves and silver veins; dramatic foliage plant requiring high humidity.,Alocasia reginula (Black velvet),"Keep soil evenly moist, never fully dry. High humidity (60%+) essential—use pebble tray or humidifier. Bright indirect light; avoid direct sun. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or dead leaves promptly.",brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
alocasia-cuprea,Alocasia Cuprea,Houseplants - Aroids,"Also known as: Mirror plant, Red copper. Alocasia with metallic copper-bronze leaves and pronounced veins; compact, jewel-like foliage.","Alocasia cuprea (Mirror plant, Red copper)",Keep soil evenly moist. High humidity (60%+) required. Bright indirect light; direct sun burns leaves. Warm temps preferred. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or dead leaves promptly.,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
alocasia-dragon-scale,Dragon Scale Alocasia,Houseplants - Aroids,"Compact Alocasia with extraordinarily textured, thick leaves featuring deep silvery-green coloring and prominent dark veining that resembles dragon scales.",Alocasia baginda 'Dragon Scale',"Keep soil lightly moist but never soggy; allow top layer to dry slightly. Bright indirect light—avoid direct sun. High humidity (60%+) essential; struggles in dry indoor air. Very well-draining aroid mix with perlite, bark, and sphagnum. Fertilize monthly spring through fall at quarter strength. May go dormant in winter, losing leaves—reduce watering and keep warm. Sensitive to overwatering. Toxic to pets (calcium oxalate crystals). Remove yellowing or dead leaves promptly.",brightIndirect,high,"[18, 28]",5.0,5.0,7.0,14.0,acidic,wellDraining,toxic,moderate,
alocasia-frydek,Alocasia Frydek,Houseplants - Aroids,Also known as: Green velvet. Velvety green Alocasia with prominent white veins; similar to Black Velvet but green. Requires high humidity.,Alocasia micholitziana 'Frydek' (Green velvet),Keep soil evenly moist. High humidity (60%+) essential. Bright indirect light. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or dead leaves promptly.,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
alocasia-maharani,Alocasia Maharani,Houseplants - Aroids,"Also known as: Grey dragon. Compact gray-green Alocasia with textured, velvety leaves; dwarf elephant ear.",Alocasia maharani (Grey dragon),Keep soil evenly moist. Medium to high humidity preferred. Bright indirect light. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or dead leaves promptly.,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
alocasia-polly,Alocasia Polly,Houseplants - Aroids,"Also known as: African mask. Compact hybrid Alocasia with arrow-shaped, dark green leaves and white veins; popular cultivar.","Alocasia × amazonica 'Polly' (African mask, Polly)",Keep soil evenly moist. Medium to high humidity helps. Bright indirect light; avoid direct sun. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or dead leaves promptly.,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
